path,weight,complexity,seed
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+4/Unpleasant_____field_S235711121_St25_G7.5.68.png,4,64.09,235711121
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+4/Unpleasant_____field_S235711127_St25_G7.5.74.png,4,42.53,235711127
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+4/Unpleasant_____field_S235711120_St25_G7.5.67.png,4,56.36,235711120
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+5/Unpleasant______field_S235711127_St25_G7.5.64.png,5,41.63,235711127
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+5/Unpleasant______field_S235711122_St25_G7.5.59.png,5,54.02,235711122
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+5/Unpleasant______field_S235711125_St25_G7.5.62.png,5,59.34,235711125
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+5/Unpleasant______field_S235711124_St25_G7.5.61.png,5,47.38,235711124
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+5/Unpleasant______field_S235711121_St25_G7.5.58.png,5,66.81,235711121
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+5/Unpleasant______field_S235711128_St25_G7.5.65.png,5,65.16,235711128
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+5/Unpleasant______field_S235711123_St25_G7.5.60.png,5,42.31,235711123
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+5/Unpleasant______field_S235711129_St25_G7.5.66.png,5,50.0,235711129
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+5/Unpleasant______field_S235711120_St25_G7.5.57.png,5,56.43,235711120
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant+5/Unpleasant______field_S235711126_St25_G7.5.63.png,5,59.37,235711126
