path,name,seed,group,size,compressed_path,compressed_size,complexity,valence2
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711142_St25_G7.5.120.png,pleasant_n_30,235711142,pleasant_n,452672,../images/Comprimida/f2c4f0e0be175ff00e3a92a37bcb5bdb1e0ada8ee45874cde59499b9332d5a2c.png,433900,0.55,6
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711123_St25_G7.5.101.png,pleasant_n_11,235711123,pleasant_n,388375,../images/Comprimida/1ed48f1ee9620e8395c0ce50f9ef73297ee6e9a898e8e97d02e45446f334359e.png,368910,0.47,3
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711122_St25_G7.5.100.png,pleasant_n_10,235711122,pleasant_n,454117,../images/Comprimida/f55388a27b3a5dde9bc0aa45c2b36510809bd33ced461184266f6df22b3a074d.png,439259,0.56,5
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711137_St25_G7.5.115.png,pleasant_n_25,235711137,pleasant_n,416922,../images/Comprimida/35a6e6c334d81d788064ade30fc614f4ccea761880bc6e24960df5088214ed65.png,404831,0.51,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711117_St25_G7.5.95.png,pleasant_n_5,235711117,pleasant_n,428116,../images/Comprimida/942499675e841a893fd91d969aac7a5eca539017fc93dd2f240cbfcc9a4b75ed.png,411289,0.52,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711114_St25_G7.5.92.png,pleasant_n_2,235711114,pleasant_n,450622,../images/Comprimida/95ab6a5eb09297943c9ef004e1e60103e5d0727929b0a748f9f04b34b38fa4e7.png,432627,0.55,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711132_St25_G7.5.110.png,pleasant_n_20,235711132,pleasant_n,573347,../images/Comprimida/dcde357ef3427d99f0015431c44bff43ba49b13fcc22dcce34ed4781d4b00bc3.png,556633,0.71,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711115_St25_G7.5.93.png,pleasant_n_3,235711115,pleasant_n,502498,../images/Comprimida/e67d435dd5c9ebe838ff80445b8d63e5d4fa95451e376ec19a45adbe221b3b76.png,482815,0.61,5
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711136_St25_G7.5.114.png,pleasant_n_24,235711136,pleasant_n,493818,../images/Comprimida/4784b82180246626dfb558176a8cb3183d64cb8fc3edbed14797e8f2ef8319e5.png,478388,0.61,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711124_St25_G7.5.102.png,pleasant_n_12,235711124,pleasant_n,463502,../images/Comprimida/757f83205953e3a1fc2eb5649fb8d229e812b40e39b00d15f8b43234b2022808.png,444773,0.57,4
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711128_St25_G7.5.106.png,pleasant_n_16,235711128,pleasant_n,521453,../images/Comprimida/c965349b8f6929a23256e7c473e43deb7a4e80325c1e83eabffaa64cefd2e70b.png,505268,0.64,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711134_St25_G7.5.112.png,pleasant_n_22,235711134,pleasant_n,446378,../images/Comprimida/48b5565eba78400ce6d6e0649b21063295e2ad332569c174ce8c1929b5789274.png,427403,0.54,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711118_St25_G7.5.96.png,pleasant_n_6,235711118,pleasant_n,459918,../images/Comprimida/03ee6b43eba31726d16ca6df638bad42b3e8065b67bf81fb71b88c8ea7aae525.png,443133,0.56,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711140_St25_G7.5.118.png,pleasant_n_28,235711140,pleasant_n,467856,../images/Comprimida/e58e27f9341fa4179f8b0bd751dab4274f2f2858eee0685ce7f73567c5c94e90.png,452150,0.57,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711133_St25_G7.5.111.png,pleasant_n_21,235711133,pleasant_n,596904,../images/Comprimida/a830e93224ded0bb94e98b3b8e4e14568431cc32ce20ae7d7c8fbeba93f6e678.png,580598,0.74,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711130_St25_G7.5.108.png,pleasant_n_18,235711130,pleasant_n,474246,../images/Comprimida/7c22bafab2117224499199f21a38c5f9a92215476cb64cee25dce371b261bbb5.png,459487,0.58,6
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711141_St25_G7.5.119.png,pleasant_n_29,235711141,pleasant_n,438566,../images/Comprimida/fc0802fba6486858b199b49ae41bff2804fdf175771d576f81045b093487c24e.png,417590,0.53,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711113_St25_G7.5.91.png,pleasant_n_1,235711113,pleasant_n,555168,../images/Comprimida/7276c65fa528a7768dcc6e88b028df9dce3f351d22d8f59cb3d51a9d38f4cf27.png,537877,0.68,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711125_St25_G7.5.103.png,pleasant_n_13,235711125,pleasant_n,507450,../images/Comprimida/9b83a886e36a17e907afa5e6b16aba4ec5c8fe9233861fcd458b7f797d2675bb.png,494186,0.63,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711120_St25_G7.5.98.png,pleasant_n_8,235711120,pleasant_n,452754,../images/Comprimida/918148f3eb1ba4e85e944c7514e6401380af860d92f38e8edc13fe7b20556da2.png,433238,0.55,5
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant (-3)/Pleasant____landscape_S235711119_St25_G7.5.97.png,pleasant_n_7,235711119,pleasant_n,552622,../images/Comprimida/a8937d95101cc053087b9874013b726f0d303968c48cb1834249c0f438eee8f1.png,541562,0.69,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711125_St25_G7.5.73.png,unpleasant_n_13,235711125,unpleasant_n,522198,../images/Comprimida/e270e15abad5f07cd753c987c05072860727b1acd826aa011c5ad0d5f236de00.png,508300,0.65,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711121_St25_G7.5.69.png,unpleasant_n_9,235711121,unpleasant_n,425983,../images/Comprimida/3f1290b012bdcf8da394966f9ce6f8f0bdf801c3e3161fb3ba72cc4ff298d069.png,407366,0.52,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711127_St25_G7.5.75.png,unpleasant_n_15,235711127,unpleasant_n,441583,../images/Comprimida/a7073542d8f1bb953d194c99546061186f2f3e0d4a2c0b347e7b911d4340b5b6.png,425433,0.54,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711135_St25_G7.5.83.png,unpleasant_n_23,235711135,unpleasant_n,483246,../images/Comprimida/940c7aa102d85a961a30f00ea3b9f20c05d7f3800ed2db96103b55acd196d816.png,467450,0.59,7
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711137_St25_G7.5.85.png,unpleasant_n_25,235711137,unpleasant_n,423316,../images/Comprimida/20628009b08436ae4425e2ff808588b1ccbddc1e6b8833aaa30b4970f62f1e16.png,404610,0.51,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711119_St25_G7.5.67.png,unpleasant_n_7,235711119,unpleasant_n,521026,../images/Comprimida/eb145d2c999387dbd3892142e9c61a4d064c0405d2da06dd46a9d2804428b055.png,510179,0.65,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711123_St25_G7.5.71.png,unpleasant_n_11,235711123,unpleasant_n,354316,../images/Comprimida/1dd49ecaeba8d7b98caafd3827978ba0d047e8bc5c967dbe0717edb94314c996.png,333874,0.42,6
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711130_St25_G7.5.78.png,unpleasant_n_18,235711130,unpleasant_n,466430,../images/Comprimida/42b266378e93d264fcd6e273ef2791251f2f017f946487378a757c1b6a05c730.png,456353,0.58,-2
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711136_St25_G7.5.84.png,unpleasant_n_24,235711136,unpleasant_n,492855,../images/Comprimida/d5a16ace96d8582de088bfd405043e78750fd33b69b4f68d0e73a71f153f77ff.png,476298,0.61,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711133_St25_G7.5.81.png,unpleasant_n_21,235711133,unpleasant_n,569991,../images/Comprimida/da894483b3b7b2913e3630adab6feca6a0f1397a708c8efdd12b68430c43b70a.png,552768,0.7,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711116_St25_G7.5.64.png,unpleasant_n_4,235711116,unpleasant_n,488661,../images/Comprimida/2db1b4cbec21c14006bb9acc0c28767687177dd9906ae4e34c6ce13afbeea08b.png,476494,0.61,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711134_St25_G7.5.82.png,unpleasant_n_22,235711134,unpleasant_n,421998,../images/Comprimida/716fdceb6dc1c7c1f1a6ecdc4bc882869b54b0e8964218cf9adb474c3c5c0962.png,402423,0.51,8
/home/jerre/git/Stable_Diffusion_IC/images/Unpleasant (-3)/Unpleasant____landscape_S235711126_St25_G7.5.74.png,unpleasant_n_14,235711126,unpleasant_n,423599,../images/Comprimida/7725a2d661ef75d032392c81ddc6d91a356defd84c1f04c5f90ea143586af09f.png,403990,0.51,3
