path,weight,complexity,seed
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+1/Pleasant__landscape_S23571120_St25_G7.5.png,1,54.59,23571120
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+1/Pleasant__landscape_S23571127_St25_G7.5.png,1,53.89,23571127
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+1/Pleasant__landscape_S23571123_St25_G7.5.png,1,58.4,23571123
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+1/Pleasant__landscape_S23571129_St25_G7.5.png,1,49.61,23571129
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+2/Pleasant___landscape_S23571120_St25_G7.5.png,2,54.56,23571120
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+2/Pleasant___landscape_S23571123_St25_G7.5.png,2,58.31,23571123
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+2/Pleasant___landscape_S23571124_St25_G7.5.png,2,59.31,23571124
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+2/Pleasant___landscape_S23571122_St25_G7.5.png,2,62.6,23571122
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+2/Pleasant___landscape_S23571125_St25_G7.5.png,2,56.22,23571125
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+2/Pleasant___landscape_S23571129_St25_G7.5.png,2,49.58,23571129
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+2/Pleasant___landscape_S23571128_St25_G7.5.png,2,51.47,23571128
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+2/Pleasant___landscape_S23571127_St25_G7.5.png,2,53.82,23571127
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+2/Pleasant___landscape_S23571121_St25_G7.5.png,2,55.94,23571121
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+2/Pleasant___landscape_S23571126_St25_G7.5.png,2,64.53,23571126
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+3/Pleasant____landscape_S23571128_St25_G7.5.png,3,51.38,23571128
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+3/Pleasant____landscape_S23571129_St25_G7.5.png,3,49.51,23571129
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+3/Pleasant____landscape_S23571126_St25_G7.5.png,3,64.37,23571126
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+3/Pleasant____landscape_S23571124_St25_G7.5.png,3,59.44,23571124
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+3/Pleasant____landscape_S23571122_St25_G7.5.png,3,62.39,23571122
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+3/Pleasant____landscape_S23571125_St25_G7.5.png,3,56.49,23571125
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+3/Pleasant____landscape_S23571121_St25_G7.5.png,3,55.64,23571121
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+3/Pleasant____landscape_S23571127_St25_G7.5.png,3,53.68,23571127
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant+3/Pleasant____landscape_S23571120_St25_G7.5.png,3,54.55,23571120
